strain	virus	gisaid_epi_isl	genbank_accession	date	region	country	division	location	region_exposure	country_exposure	division_exposure	segment	length	host	age	sex	Nextstrain_clade	pango_lineage	GISAID_clade	originating_lab	submitting_lab	authors	url	title	paper_url	date_submitted	purpose_of_sequencing	missing_data	divergence	nonACGTN	rare_mutations	snp_clusters	QC_missing_data	QC_mixed_sites	QC_rare_mutations	QC_snp_clusters	clock_deviation
Australia/ACT0095/2021	ncov	EPI_ISL_1170946	?	2021-03-03	Oceania	Australia	Australian Capital Territory		Oceania	Australia	Australian Capital Territory	genome	29764	Human	?	?	20H/501Y.V2	B.1.351	GH	ACT Pathology	Schwessinger Lab	Ashley Jones et al	https://www.gisaid.org	?	?	2021-03-07	?	513.0	27.0	0.0	10.0	0.0	good	good	mediocre	good	0.010551780821920431
Australia/ACT0096/2021	ncov	EPI_ISL_1170947	?	2021-03-03	Oceania	Australia	Australian Capital Territory		Oceania	Australia	Australian Capital Territory	genome	29764	Human	?	?	20H/501Y.V2	B.1.351	GH	ACT Pathology	Schwessinger Lab	Ashley Jones et al	https://www.gisaid.org	?	?	2021-03-07	?	515.0	27.0	0.0	10.0	0.0	good	good	mediocre	good	0.010551780821920431
Australia/ACT0097/2021	ncov	EPI_ISL_1208400	?	2021-03-06	Oceania	Australia	Australian Capital Territory		Oceania	Australia	Australian Capital Territory	genome	29764	Human	?	?	20H/501Y.V2	B.1.351	GH	ACT Pathology	Schwessinger Lab	Ashley Jones et al	https://www.gisaid.org	?	?	2021-03-11	?	513.0	27.0	0.0	10.0	0.0	good	good	mediocre	good	-0.1369150684931455
Australia/ACT0098/2021	ncov	EPI_ISL_1208401	?	2021-03-08	Oceania	Australia	Australian Capital Territory		Oceania	Australia	Australian Capital Territory	genome	29764	Human	?	?	20H/501Y.V2	B.1.351	GH	ACT Pathology	Schwessinger Lab	Ashley Jones et al	https://www.gisaid.org	?	?	2021-03-11	?	515.0	29.0	0.0	12.0	0.0	good	good	mediocre	good	1.7647736986301403
Australia/ACT0099/2021	ncov	EPI_ISL_1208402	?	2021-03-09	Oceania	Australia	Australian Capital Territory		Oceania	Australia	Australian Capital Territory	genome	29764	Human	?	?	20H/501Y.V2	B.1.351	GH	ACT Pathology	Schwessinger Lab	Ashley Jones et al	https://www.gisaid.org	?	?	2021-03-11	?	221.0	27.0	0.0	10.0	0.0	good	good	mediocre	good	-0.284381917808215
Australia/NSW-R0019/2021	ncov	EPI_ISL_1010704	?	2021-01-28	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29696	Human	?	Male	20H/501Y.V2	B.1.351	GH	New South Wales Health Pathology Royal Prince Alfred Hospital	Microbiology RPAH	Foster et al	https://www.gisaid.org	?	?	2021-02-17	?	957.0	24.0	0.0	7.0	0.0	good	good	good	good	-1.3181572602739706
Australia/NSW1469/2021	ncov	EPI_ISL_845805	?	2021-01-15	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29390	Human	?	?	20H/501Y.V2	B.1.351	GH	Sydney South West Pathology Service (SSWPS) - Royal Prince Alfred Hospital - NSW Health Pathology	NSW Health Pathology - Institute of Clinical Pathology and Medical Research; Westmead Hospital; University of Sydney	CIDM-PH et al. et al	https://www.gisaid.org	?	?	2021-01-19	?	0.0	22.0	0.0	6.0	0.0	good	good	good	good	-2.679134246575341
Australia/NSW3872/2021	ncov	EPI_ISL_775245	?	2021-01-04	Oceania	Australia	New South Wales		Oceania	Australia	New South Wales	genome	29765	Human	1	Male	20H/501Y.V2	B.1.351	GH	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Rawlinson et al	https://www.gisaid.org	?	?	2021-01-07	?	2.0	25.0	0.0	6.0	0.0	good	good	good	good	0.8615775342465781
Australia/NSW3876/2021	ncov	EPI_ISL_775242	?	2021-01-04	Oceania	Australia	New South Wales		Oceania	Australia	New South Wales	genome	29765	Human	33	Female	20H/501Y.V2	B.1.351	GH	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Rawlinson et al	https://www.gisaid.org	?	?	2021-01-07	?	0.0	25.0	0.0	6.0	0.0	good	good	good	good	0.8615775342465781
Australia/NSW3906/2021	ncov	EPI_ISL_1005536	?	2021-01-11	Oceania	Australia	New South Wales	Sydney	Oceania	Australia	New South Wales	genome	29765	Human	25	?	20H/501Y.V2	B.1.351	G	Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Virology Research Laboratory; Area of Virology, Serology and Virology Division (SAViD), New South Wales Health Pathology Randwick	Foster et al	https://www.gisaid.org	?	?	2021-02-16	?	163.0	26.0	0.0	9.0	0.0	good	good	good	good	1.5174882191780839
